user_id,created_and_pending_bins_cnt
106749,2
1145751,3
1023368,2
175224,2
725625,2
787943,4
1072571,2
1318233,3
207344,2
178387,2
1118571,2
1653440,4
1165279,2
188685,3
706230,2
1085284,2
1001002,2
583435,2
1158373,4
1316090,3
1018086,2
1060051,2
1033044,2
719291,2
1594952,2
1621584,2
698315,2
1055033,3
1149249,2
1073040,2
176831,2
991596,4
1199816,2
1135229,2
1189318,2
718262,3
646571,2
1038746,2
707163,3
699378,2
626660,2
208058,3
695005,2
167837,4
1226499,2
432638,2
444536,2
711820,2
203669,3
875236,2
1015097,2
1128577,4
1068388,4
1002118,2
1340176,2
994456,2
211156,4
720844,2
1182113,2
1509238,2
77760,2
1165609,2
695670,2
1157284,2
1043083,2
1176029,2
682936,3
1012756,2
1140962,10
1183942,2
797148,3
188234,2
204533,2
195755,3
1015859,2
1018629,2
1600585,2
691770,2
197171,2
179704,4
1038950,3
195892,2
223829,2
1009728,2
715091,2
1190279,2
170214,2
693547,2
747899,2
1235887,2
1060007,2
931747,2
987802,2
713499,2
1029484,2
181694,2
670371,4
901859,5
748657,2
