cart_id,resource_type,resource_id_cnt,uniq_resource_id_cnt
217369,Course,3,2
220566,Course,3,2
229465,Course,2,1
230533,Course,2,1
231770,Course,3,2
232518,Course,10,8
233342,Course,5,4
235514,Course,2,1
236793,Course,4,3
238332,Course,2,1
238731,Course,4,3
240555,Course,3,2
241365,Course,2,1
241514,Course,5,4
242620,Course,4,3
243386,Course,3,2
243828,Course,2,1
245943,Course,3,2
246716,Course,2,1
246980,Course,3,2
247269,Course,2,1
248176,Course,2,1
251284,Course,2,1
251991,Course,3,2
255126,Course,5,4
255629,Course,2,1
256095,Course,3,2
258060,Course,2,1
259125,Course,3,2
262752,Course,3,2
264628,Course,5,4
266991,Course,2,1
270044,Course,4,3
275092,Course,3,2
278042,Course,2,1
278485,Course,6,5
279120,Course,2,1
279264,Course,3,2
280027,Course,3,1
281025,Course,2,1
281620,Course,4,3
282321,Product,3,1
287106,Course,3,2
288194,Course,2,1
289215,Course,2,1
291234,Course,2,1
292610,Course,3,2
293464,Course,3,2
294152,Course,3,2
294650,Course,3,2
295418,Course,5,4
296311,Course,2,1
297751,Course,4,2
297849,Course,3,2
298665,Course,3,2
298906,Course,2,1
300114,Course,2,1
300673,Course,2,1
301472,Course,7,5
303511,Course,2,1
303613,Course,2,1
303963,Course,3,2
304114,Course,2,1
304711,Course,3,2
306073,Course,2,1
307011,Course,2,1
307222,Course,2,1
309087,Course,2,1
309280,Course,2,1
309655,Course,2,1
309699,Course,2,1
311028,Course,4,3
311355,Course,2,1
312900,Course,3,2
313301,Course,3,2
316627,Course,2,1
318053,Course,3,2
318941,Course,2,1
320815,Course,2,1
322962,Course,3,2
323028,Course,3,1
324003,Course,4,3
324039,Course,2,1
324085,Course,2,1
324844,Course,2,1
325052,Course,6,5
325690,Course,3,2
328067,Course,2,1
328512,Course,2,1
329879,Course,4,3
333727,Course,2,1
335004,Course,2,1
335445,Course,2,1
335509,Course,5,3
337025,Course,2,1
338356,Course,3,2
341849,Course,6,5
343669,Course,3,2
344819,Course,6,5
348394,Course,2,1
348864,Course,2,1
350648,Course,3,2
352867,Course,2,1
355020,Course,2,1
355459,Course,2,1
355534,Course,2,1
356745,Course,2,1
356829,Course,2,1
357897,Course,2,1
358475,Course,2,1
360878,Course,4,3
361202,Course,2,1
364772,Course,2,1
366814,Course,2,1
367375,Course,2,1
367816,Course,2,1
371546,Course,3,2
372728,Course,3,2
373150,Course,2,1
373669,Course,2,1
373852,Course,2,1
374175,Course,2,1
375213,Course,2,1
376071,Course,2,1
376680,Course,4,3
376907,Course,2,1
377085,Course,2,1
377769,Course,3,2
378816,Course,3,2
380224,Course,2,1
380340,Course,2,1
381381,Course,2,1
381627,Course,2,1
382124,Course,3,2
384518,Course,2,1
384533,Course,3,2
384990,Course,2,1
385399,Course,2,1
385874,Course,2,1
388175,Course,3,2
388654,Course,3,2
388745,Course,2,1
388850,Course,2,1
388994,Course,2,1
390530,Course,2,1
391392,Course,2,1
391932,Course,2,1
393167,Course,4,3
393282,Course,5,4
396151,Course,2,1
399104,Course,3,2
403674,Course,3,2
412530,Course,2,1
413365,Course,2,1
416234,Course,3,2
417924,Course,2,1
418162,Course,2,1
418418,Course,2,1
419063,Course,2,1
424366,Course,2,1
426843,Course,2,1
426941,Course,2,1
428010,Course,2,1
428513,Course,2,1
430142,Course,2,1
432600,Course,2,1
434000,Course,3,2
435072,Course,2,1
436072,Course,3,2
436530,Course,3,2
440427,Course,2,1
442646,Course,2,1
442656,Course,2,1
443138,Course,2,1
443598,Course,2,1
444205,Course,2,1
444438,Course,2,1
444683,Course,4,3
445013,Course,2,1
448255,Course,2,1
449087,Course,2,1
449294,Course,2,1
449404,Course,2,1
449881,Course,2,1
450218,Course,2,1
450228,Course,2,1
450816,Course,2,1
450963,Course,2,1
450969,Course,2,1
453209,Course,3,2
454759,Course,2,1
464581,Course,2,1
475626,Course,2,1
506323,Course,2,1
525250,Course,2,1
534910,Course,2,1
594964,Course,2,1
598919,Course,2,1
615359,Course,2,1
691795,Course,2,1
702109,Course,2,1
748893,Course,2,1
783224,Course,2,1
869690,Course,2,1
958009,Course,2,1
